long	lat	region
-12.04318	-77.02824	Lima
-9.93062	-76.24223	Huanuco
-14.0639	-75.7292	Ica
-16.39889	-71.535	Arequipa
-6.70111	-79.90611	Lambayeque
-4.589173786	-74.42540476	Loreto
-13.52264	-71.96734	Cusco
-9.38595879	-77.66465318	Ancash
-11.36547031	-74.86367139	Junin
-8.1119	-79.0289	La Libertad
-7.15639	-78.5156	Cajamarca
-12.49612316	-77.91420968	Callao
-9.487002615	-73.57182593	Ucayali
-6.22	-77.85	Amazonas
-17.2	-70.9333	Moquegua
-14.15407141	-74.14056801	Ayacucho
-12.786389	-74.975555	Huancavelica
-5.178288	-80.654888	Piura
-10.3975	-75.3011	Pasco
-7.190517335	-76.68052675	San Martin
-14.02813153	-72.97551242	Apurimac
-18.006569	-70.246277	Tacna
-3.56694	-80.45153	Tumbes
-11.766871	-70.811995	Madre de Dios
-15.8422	-70.0199	Puno